,designation,country,MTE: designation
3499,Joie de Vivre,US,61.0
3500,10-Years Old White,Portugal,61.0
3501,Convento S.S. Annunciata,Italy,61.0
3502,Aurora Vineyard,US,61.0
3503,Cresasso,Italy,61.0
3504,Fausoni,Italy,61.0
3505,Guidotti Vineyard,US,61.0
3506,Sole dei Padri,Italy,61.0
3507,Grand Cru Blanc de Blancs Brut,France,61.0
3508,Grand Cuvée Brut,France,61.0
3509,Perla Negra,Chile,61.0
3510,Maddie's Vineyard,US,61.0
3511,Les Lièvres,France,61.0
3512,Ca' Coato,Italy,61.0
3513,Cheval Sauvage,US,61.0
3514,Cuvée Gastronome Premier Cru Blanc de Blancs Brut,France,61.0
3515,Reserve Speciale,US,60.88888888888889
3516,Reserve Speciale,France,60.88888888888889
3517,Reserva Field Blend,Portugal,60.83333333333334
3518,Brown Ranch,US,60.8
3519,Kanzler Vineyard,US,60.75
3520,Artist Series,US,60.73333333333333
3521,Vendemmia Tardiva,Italy,60.72727272727273
3522,Estates Reserve,US,60.66666666666666
3523,Sainte-Épine,France,60.66666666666666
3524,Asinone,Italy,60.625
3525,Les Combettes,France,60.6
3526,Goldert Grand Cru,France,60.57142857142857
3527,Lewis Vineyard,US,60.514285714285705
3528,Gallina,Italy,60.5
3529,Goodin Vineyard,US,60.42857142857143
3530,Renelle's Block Reserve,US,60.33333333333334
3531,Mammolo,Italy,60.33333333333334
3532,Poggio al Lupo,Italy,60.3
3533,La Coeta,Italy,60.25
3534,Quinta de Pedras Vineyard,US,60.25
3535,Evenstad Reserve,US,60.230769230769226
3536,Cenit,Spain,60.16666666666666
3537,Cenit,Chile,60.16666666666666
3538,20 Years Old Tawny,Portugal,60.111111111111114
3539,Clay Court,US,60.0
3540,15th Anniversary Ottimo Red Wine,US,60.0
3541,Solera3,US,60.0
3542,Martinelli,US,60.0
3543,Erbach Marcobrunn Dry,Germany,60.0
3544,Castelgiocondo Lamaione,Italy,60.0
3545,Cisterna Fuori,Italy,60.0
3546,Reserve Maple,US,60.0
3547,Cisne,Portugal,60.0
3548,Reserve Mailbox Vineyard,US,60.0
3549,Ab Ericio,Austria,60.0
3550,Kupe,New Zealand,60.0
3551,Sorì Burdin,Italy,60.0
3552,Schindler Reserve,US,60.0
3553,La Carriere,US,60.0
3554,La Bohéme Artist Series,US,60.0
3555,Microcosm,US,60.0
3556,Erbach Marcobrunn Edition Marianne Erstes Gewächs,Germany,60.0
3557,Kidd Ranch,US,60.0
3558,Tapestry,US,60.0
3559,The Sorceress Upland Vineyard,US,60.0
3560,The Rancher,US,60.0
3561,En Chamberlin Roma Red,US,60.0
3562,The Rocks,US,60.0
3563,Arrubias,Italy,60.0
3564,Empreinte Premier Cru Brut,France,60.0
3565,Symphony 3,US,60.0
3566,Ink Grade Vineyard,US,60.0
3567,Schatz Family Reserve,US,60.0
3568,Rangen de Thann Grand Cru Clos Saint-Théobald Schistes,France,60.0
3569,En Cerise Ovide Red,US,60.0
3570,Instant Napa,US,60.0
3571,Old Hill,US,60.0
3572,En Chamberlin El Jefe Red,US,60.0
3573,San Giacomo,Italy,60.0
3574,Wences Reserva,Spain,60.0
3575,Grafin de la Tour,Italy,60.0
3576,Eclipse Late Harvest,US,60.0
3577,100 Year Old Vine,Australia,60.0
3578,Graf de La Tour,Italy,60.0
3579,Minéral Extra Brut,France,60.0
3580,Tori Reserve,US,60.0
3581,Le Belier,US,60.0
3582,D11 Dionysus Vineyard,US,60.0
3583,Late Harvest Violetta,US,60.0
3584,LPF,US,60.0
3585,Le Balze,Italy,60.0
3586,Symphony3 Proprietor's Reserve,US,60.0
3587,Touchy-Feely,US,60.0
3588,L. Robert Milan 57,France,60.0
3589,Castello Fonterutoli,Italy,60.0
3590,Baby Poux Vineyard Reserve,US,60.0
3591,Epoch II Millenium Cuvée,US,60.0
3592,Old Hill Single Vineyard,US,60.0
3593,CabOvation Reserve,US,60.0
3594,Castello di Fonterutoli,Italy,60.0
3595,Kopar,Hungary,60.0
3596,Sycamore Vineyards,US,60.0
3597,Minnick Hills Reserve,US,60.0
3598,L'Artolie,France,60.0
3599,Backseat Betty,US,60.0
3600,Epitome,US,60.0
3601,Kopar Cuvée,Hungary,60.0
3602,Deer Camp Estate,US,60.0
3603,Chamise,US,60.0
3604,Riserva Fondatori,Italy,60.0
3605,Essenze,Italy,60.0
3606,La Roggia,Italy,60.0
3607,T-bar-T Benchmark,US,60.0
3608,San Nicolò,Italy,60.0
3609,Max's Garden,Australia,60.0
3610,Camerata Cara Mia Vineyard,US,60.0
3611,JBO's Frangiovese,US,60.0
3612,El Preciado Premier Gran Reserva,Uruguay,60.0
3613,Estate Damiana Vineyard,US,60.0
3614,Tupu Edicion Limitada Carménère-Cabernet Sauvignon-Malbec-Syrah,Chile,60.0
3615,Three Sisters Vineyard Sea Ridge Meadow,US,60.0
3616,Mediterranean Kosher,Israel,60.0
3617,El Palomar,Spain,60.0
3618,John Speke Single Vineyard,Australia,60.0
3619,Eighty-Five Fifty-Five,US,60.0
3620,Essence de,US,60.0
3621,Chris's Cuvée,US,60.0
3622,Chris Lee Vineyard,US,60.0
3623,Ried Jungenberg Jois,Austria,60.0
3624,GBR,US,60.0
3625,ODE,US,60.0
3626,Red Winery Vineyard,US,60.0
3627,Millepassi,Italy,60.0
3628,Skyraider Reserve,US,60.0
3629,Areté,US,60.0
3630,Tuthills Lane Vineyard,US,60.0
3631,Zone 2,New Zealand,60.0
3632,Deer Camp,US,60.0
3633,Sorano,Italy,60.0
3634,El Bugader,Spain,60.0
3635,Cuvée Sublime Demi-Sec,France,60.0
3636,Sophie's Garden,Australia,60.0
3637,Two Barrel,US,60.0
3638,Avi Riserva,Italy,60.0
3639,Gold Coast Vineyard Dijon Selection,US,60.0
3640,Sancerre d'Antan Terroir de Silex,France,60.0
3641,Campo di Marzo Riserva,Italy,60.0
3642,Je Ne Sais Quoi,US,60.0
3643,CampoRe Riserva,Italy,60.0
3644,Campomasua,Italy,60.0
3645,Laku Hijo del Sol The Final Blend,Chile,60.0
3646,Recinaio,Italy,60.0
3647,La Volière,France,60.0
3648,Rayhill Vineyard,US,60.0
3649,La Vita Regan Vineyards,US,60.0
3650,La Vita,US,60.0
3651,Archeology,US,60.0
3652,Jennifer's,US,60.0
3653,Avaton Single Estate,Greece,60.0
3654,San Pietro,Italy,60.0
3655,El Jefe En Chamberlin,US,60.0
3656,Godolphin,Australia,60.0
3657,Judith,Austria,60.0
3658,Redi Briareo Riserva,Italy,60.0
3659,Emblem Oso Vineyard,US,60.0
3660,Occidental Ridge,US,60.0
3661,Sécret Mineral,France,60.0
3662,Trine Red,US,60.0
3663,Estate Grown McGah Family Vineyards,US,60.0
3664,Trine,US,60.0
3665,20 Anos Tawny,Portugal,60.0
3666,Occam's Razor Block Ten,US,60.0
3667,La Coupelle Single Vineyard,US,60.0
3668,La Coupelle,US,60.0
3669,Giallo Solare,US,60.0
3670,Ugolino,Italy,60.0
3671,Santenay-Beauregard Premier Cru,France,60.0
3672,Occidental Ridge Vineyard,US,60.0
3673,Deja Vu,US,60.0
3674,Ocean's Ghost Babcock Vineyard,US,60.0
3675,Raptor Red,US,60.0
3676,La Colline Single Vineyard,US,60.0
3677,Triangle,US,60.0
3678,Mash,US,60.0
3679,Assajè,Italy,60.0
3680,Merlot-Cabernet Sauvignon-Syrah-Cabernet Franc,Turkey,60.0
3681,Champs Pimont Premier Cru,France,60.0
3682,La Chapelle de Sainte-Roseline,France,60.0
3683,Frux Frugis,Australia,60.0
3684,Sven & Ole's Reserve,US,60.0
3685,Wadenswil,US,60.0
3686,Das Beste Von Riesling Auslese,Austria,60.0
3687,Izarbe Gran Reserva,Spain,60.0
3688,Auberge Road Vineyard,US,60.0
3689,Lange Estate Vineyard,US,60.0
3690,Zone 10,New Zealand,60.0
3691,Ridgecrest Vineyards Reserve,US,60.0
3692,Ombre,Italy,60.0
3693,Eicelènci,France,60.0
3694,Arcane,France,60.0
3695,Esporão Private Selection Garrafeira,Portugal,60.0
3696,Tilton Hill,US,60.0
3697,Milledì Brut,Italy,60.0
3698,Slice of Heaven,US,60.0
3699,K-2,France,60.0
3700,Ciel du Cheval Vineyard Flagship Reserve,US,60.0
3701,Carvalhas Vinhas Velhas,Portugal,60.0
3702,Good Vibrations Tawny Cabernet Port,US,60.0
3703,Larry Hyde & Sons Vineyard,US,60.0
3704,Kaefferkopf Clos Saint Landelin Grand Cru,France,60.0
3705,Kankana del Elqui Solar No. 10,Chile,60.0
3706,Las ALturas Vineyard,US,60.0
3707,Tirinto,Italy,60.0
3708,20th Anniversary Reserve,US,60.0
3709,Olivet Lane Méthode a l'Ancienne,US,60.0
3710,Erminia,Italy,60.0
3711,Carvalhas,Portugal,60.0
3712,Jane's Vineyard Garfield Block,US,60.0
3713,San Andreas Fault,US,60.0
3714,Belle Côte,US,60.0
3715,The Patriarch Premium Red Wine,New Zealand,60.0
3716,Badarina,Italy,60.0
3717,Quintessence Extra Brut Riserva,Italy,60.0
3718,Director's Choice Vintage,Portugal,60.0
3719,Baritelle Vyd,US,60.0
3720,Anthem,US,60.0
3721,Madreselva,Italy,60.0
3722,Dutton Ranch Widdoes Vineyard,US,60.0
3723,Beerenauslesel,Austria,60.0
3724,Valentino Sweet Red,Slovenia,60.0
3725,Les Monts de Boncourt,France,60.0
3726,Poggio Alla Pietra Brunello di Sonoma Estate Grown,US,60.0
3727,The Funkadelic,US,60.0
3728,Hozhoni Vineyard,US,60.0
3729,The Narrow & Straight,US,60.0
3730,Alfiera,Italy,60.0
3731,Clos del Music,Spain,60.0
3732,Quinta do Moinho Baga,Portugal,60.0
3733,Collezione de Marchi,Italy,60.0
3734,Poggio Alla Pietra Brunello di Sonoma,US,60.0
3735,Brut Milledì,Italy,60.0
3736,Monte Fante,Italy,60.0
3737,Collepiano,Italy,60.0
3738,Barrack Ten Goal,US,60.0
3739,Southing Sea Smoke Estate Vineyard,US,60.0
3740,Anden Vineyard,US,60.0
3741,Ovello Vigna Loreto,Italy,60.0
3742,Cuvée Etienne Henri,France,60.0
3743,Quintessence Vineyard,US,60.0
3744,Les Otéliées,France,60.0
3745,Wightman House,US,60.0
3746,Déjà Vu,US,60.0
3747,Belle Cousine,US,60.0
3748,Dürrau Cuvée,Austria,60.0
3749,Stagecoach Vineyard Veraison Synchrony,US,60.0
3750,Wits' End,US,60.0
3751,Mariondino,Italy,60.0
3752,Wits' End Vineyard,US,60.0
3753,Velvet Sisters,US,60.0
3754,Gravity,South Africa,60.0
3755,Mocenni 89 Gran Selezione,Italy,60.0
3756,Fractured Flowers,US,60.0
3757,Stone Vineyard,US,60.0
3758,Vagabond,US,60.0
3759,Ferguson Vineyard Estate Grown Cabernet Sauvignon-Merlot-Cabernet Franc,US,60.0
3760,Ronnie Melck A Tribute,South Africa,60.0
3761,Fox in the Hen House,US,60.0
3762,Clos Triguedina Probus,France,60.0
3763,Poggio alla Pietra Brunello di Sonoma,US,60.0
3764,South River Vineyard,US,60.0
3765,Bollo,US,60.0
3766,Gran Viu Garnacha del Terreno,Spain,60.0
3767,Bon Passe Vineyard,US,60.0
3768,Comitissa Glod Gran Riserva,Italy,60.0
3769,Les Pintades,US,60.0
3770,Hope's Cuvée,US,60.0
3771,Graveyard Hill,US,60.0
3772,Seeberg,Austria,60.0
3773,Seven Hills Vineyard Estate Vineyards,US,60.0
3774,Te Muna Block 1 Doug Wisor Memorial,New Zealand,60.0
3775,Buchignani-Garcia Vineyard Old Vine Reserve,US,60.0
3776,Bric Balin,Italy,60.0
3777,Cuvée César à Sumeire,France,60.0
3778,Brunello di Sonoma,US,60.0
3779,Alberta,Italy,60.0
3780,Albert,Australia,60.0
3781,Studi Fraedane,Italy,60.0
3782,Diamant des Karantes La Clape,France,60.0
3783,Venezia,US,60.0
3784,Due Sorelle Riserva,Italy,60.0
3785,Sagemoor Vineyards Partners Reserve,US,60.0
3786,Diamante,Italy,60.0
3787,Sea Smoke Vineyard,US,60.0
3788,Quinta Senhora da Ribeira Vintage,Portugal,60.0
3789,Mon Plaisir,US,60.0
3790,Cuvée Dame Honneur,France,60.0
3791,Cuvée Carlotta,US,60.0
3792,Streamside,US,60.0
3793,Nemesis,US,60.0
3794,Diane's Reserve,US,60.0
3795,Icewine Niagara Estate,Canada,60.0
3796,Les Charmes Dessus,France,60.0
3797,Temblor,US,60.0
3798,Sheridan Vineyard Red Wine,US,60.0
3799,Bricco San Biagio,Italy,60.0
3800,Payen,Chile,60.0
3801,Grande Cuvée Hubert de Boüard,France,60.0
3802,FLM Gran Reserva,Argentina,60.0
3803,Brauneberger Juffer Sonnenuhr Auslese #10,Germany,60.0
3804,Les Demoiselles Rosé Brut,France,60.0
3805,Pirate TreasuRed,US,60.0
3806,Napa Cuvee,US,60.0
3807,Dut'Un,Italy,60.0
3808,Romantique Reserve,US,60.0
3809,Molino Real,Spain,60.0
3810,Roma En Chamberlin,US,60.0
3811,Springflat,Australia,60.0
3812,Sparkling Rosé of,US,60.0
3813,Vinyes Centenaries - Centennial Vines,Spain,60.0
3814,Lena di Mezzo,Italy,60.0
3815,Passrì di Scrapona,Italy,60.0
3816,Les Galets Single Vineyard,US,60.0
3817,Maple Lane,US,60.0
3818,Queen of Diamonds Estate Diamond Mountain Vineyard,US,60.0
3819,Rogers Creek,US,60.0
3820,Manu Crianza,Spain,60.0
3821,Leone Zardini,Italy,60.0
3822,Napa Cuvée,US,60.0
3823,Seven Pillars Jess' Block,US,60.0
3824,Ovide En Cerise,US,60.0
3825,Napa Valley Red Wine,US,60.0
3826,Les Fiefs de Grenouilles Grand Cru,France,60.0
3827,Les Evocelles,France,60.0
3828,Beaucharme,France,60.0
3829,Seven's Bench,US,60.0
3830,Anne Katherina Vineyard Estate Farmed,US,60.0
3831,Les Duresses Premier Cru,France,60.0
3832,I Sodi di San Niccoló,Italy,60.0
3833,Pangea Apalta Vineyard,Chile,60.0
3834,Bockstein Ockfen Auslese Erste Lage,Germany,60.0
3835,Les Terrasses de l'Empire,France,60.0
3836,Balcombe Vineyard Block 1B,US,60.0
3837,Vigneto Edoardo,Italy,60.0
3838,Senito,US,60.0
3839,Corte A,Argentina,60.0
3840,Heimbourg,France,60.0
3841,Moscato della Torre,Italy,60.0
3842,Winemaker Guild Blend,South Africa,60.0
3843,Lucie,US,60.0
3844,InSpire,US,60.0
3845,Hengst Grand Cru Cuvée Francois,France,60.0
3846,Black Russian Red,US,60.0
3847,Earth Smoke,New Zealand,60.0
3848,Loiserberg Grüner Veltliner Trockenbeerenauslese,Austria,60.0
3849,Winemaker's Block,US,60.0
3850,Uriel J. Nielson Vineyard,US,60.0
3851,Baker Ridge Vineyard,US,60.0
3852,Corestone Ridge,US,60.0
3853,Lucie Dutton Ranch,US,60.0
3854,Blackwood Canyon,US,60.0
3855,Rotenberg Wintzenheim,France,60.0
3856,Fleur de l'Europe,France,60.0
3857,Amery Vineyard Hillside,Australia,60.0
3858,Finca los Meriños,Spain,60.0
3859,Lipitiresco,Italy,60.0
3860,Crosara de le Strie,Italy,60.0
3861,Balado,Spain,60.0
3862,Contrada R,Italy,60.0
3863,Les Teurons Premier Cru,France,60.0
3864,Loner W11-B,US,60.0
3865,Bisou,US,60.0
3866,Steinmassl,Austria,60.0
3867,River Block,US,60.0
3868,Coury,US,60.0
3869,Selezione XXV Anno,Italy,60.0
3870,Hallebühl,Austria,60.0
3871,Villa Monteleone,Italy,60.0
3872,Hallberg Vineyard-Dijon Clones,US,60.0
3873,Hallberg Vineyard Dijon Clones,US,60.0
3874,West Hill,US,60.0
3875,Rive di Cimarossa,US,60.0
3876,Terrine,Italy,60.0
3877,Amadis,Spain,60.0
3878,Incógnito,Portugal,60.0
3879,Half Mile,US,60.0
3880,Badia a Passignano Gran Selezione,Italy,60.0
3881,Villa al Cortile Riserva,Italy,60.0
3882,Freestone Hill Vineyard,US,60.0
3883,Martaella Vineyard,US,60.0
3884,San Andreas Estate Vineyard,US,60.0
3885,Bill and Joan's Special Selection Maritime,US,60.0
3886,Martaella,US,60.0
3887,Le Clos Secret,US,60.0
3888,Harry & Edward's Garden,Australia,60.0
3889,Precocious,US,60.0
3890,Sticks and Stones,US,60.0
3891,First Eleven,Australia,60.0
3892,Lorenzo & Isabelle,Italy,60.0
3893,Morópio,Italy,60.0
3894,Grâfin de la Tour,Italy,60.0
3895,Luna Nuova,Italy,60.0
3896,Serracapelli,Italy,60.0
3897,The Chosen Diamond Kosher,Israel,60.0
3898,Burnside Vineyard Reserve,US,60.0
3899,Oscar Semmler Single Vineyard Reserve,Australia,60.0
3900,AlphaWOLF Ranch Estate,US,60.0
3901,Conflict Conner-Lee Vineyard,US,60.0
3902,Block 23,US,60.0
3903,Doctrina Perpetua,US,60.0
3904,Hochgrassnitzberg Reserve,Austria,60.0
3905,Le Lucére,Italy,60.0
3906,Hochheimer Domdechaney Auslese Goldkap,Germany,60.0
3907,Mumm de Cramant Brut,France,60.0
3908,Psi Clone,US,60.0
3909,The Corners,US,60.0
3910,RSW,Australia,60.0
3911,Marley Anne,US,60.0
3912,Pinot Noir Cécile,Austria,60.0
3913,Block M Estate,US,60.0
3914,Block Q Old Vine Bien Nacido Vineyard,US,60.0
3915,The Creator Old Stones,US,60.0
3916,Filósofos,Argentina,60.0
3917,Almerita Brut,Italy,60.0
3918,Silver Eagle,US,60.0
3919,Doc's Ranch,US,60.0
3920,MacLain's,US,60.0
3921,Tawny Port Library Volume XII,US,60.0
3922,Fighting Bulls,Spain,60.0
3923,Vigna D'Alfiero,Italy,60.0
3924,Foglio 38,Italy,60.0
3925,The Chosen Ruby,Israel,60.0
3926,Grand Vin de Goulart,Argentina,60.0
3927,V Block,US,60.0
3928,Griffin,US,60.0
3929,Balcons,Spain,60.0
3930,Lily's Garden,Australia,60.0
3931,Clos Capelune,France,60.0
3932,Highland Estates Hawkeye Mountain,US,60.0
3933,Terra Del Cuore,US,60.0
3934,Samantha's Garden,Australia,60.0
3935,Pence Ranch Clone 115,US,60.0
3936,Maroon Vineyard,US,60.0
3937,The Chosen Diamond,Israel,60.0
3938,No 39 Blanc de Blancs Brut,France,60.0
3939,Clos Monlleó,Spain,60.0
3940,Papale Linea Oro,Italy,60.0
3941,Estate Red Wine,US,59.83333333333334
3942,Santo Stefano,Italy,59.75
3943,Clos de la Mousse Premier Cru,France,59.66666666666666
3944,Icewine,Canada,59.653846153846146
3945,Icewine,US,59.653846153846146
3946,Olivet Lane,US,59.6
3947,Tytanium,US,59.57142857142857
3948,Greppicaia,Italy,59.555555555555564
3949,Montepaone,Italy,59.5
3950,Rosé Premier Cru Brut,France,59.5
3951,Rincon Vineyard Estate Bottled,US,59.5
3952,Dominus Gran Selección Viñedos Viejos,Spain,59.5
3953,Conde de Superunda,Chile,59.5
3954,Jackaman's,Australia,59.5
3955,Les Galets,US,59.375
3956,Special Select,Australia,59.375
3957,Zio Tony Ranch,US,59.375
3958,Piesporter Goldtröpfchen GG Trocken,Germany,59.33333333333334
3959,Kaseler Nies'chen GG Trocken,Germany,59.33333333333334
3960,Penguin Eiswein,Germany,59.33333333333334
3961,Bussia,Italy,59.32
3962,Bosan,Italy,59.3
3963,Quercegobbe,Italy,59.16666666666666
3964,Bella's Garden,Australia,59.16666666666666
3965,El Puntido,Spain,59.16666666666666
3966,Red Wine,Portugal,59.09782608695652
3967,Red Wine,Australia,59.09782608695652
3968,Red Wine,US,59.09782608695652
3969,Red Wine,Argentina,59.09782608695652
3970,Red Wine,Greece,59.09782608695652
3971,Red Wine,Spain,59.09782608695652
3972,The Flyer,US,59.0
3973,La Terraza Bloc Reserve,US,59.0
3974,Sotto Castello,Italy,59.0
3975,Silver Eagle Vineyard,US,59.0
3976,Nikao,Italy,59.0
3977,Party of Four,US,59.0
3978,Rage,US,59.0
3979,Vallerga Vineyard,US,59.0
3980,Brut Premier Cru Premium Rosé,France,59.0
3981,Monprà,Italy,59.0
3982,Tanzer Reserve,Austria,59.0
3983,Johannisberger Hölle Auslese,Germany,59.0
3984,Hillside Selection,New Zealand,59.0
3985,Assunto,Italy,59.0
3986,Parady Vineyard,US,59.0
3987,TBA,Austria,59.0
3988,The Bull and the Bear,Australia,59.0
3989,Flagstone,US,59.0
3990,Três Bagos Grande Escolha,Portugal,59.0
3991,Krasi Riserva Rosso,Italy,59.0
3992,Clos du Pic Pic St. Loup,France,59.0
3993,Soulajule,US,59.0
3994,Meriame,Italy,59.0
3995,Faro,Italy,59.0
3996,Fleur Noir Blanc de Noirs Brut,France,59.0
3997,Barrel 31,US,59.0
3998,Leras Family Vineyards,US,59.0
3999,Cul de Beaujeu,France,59.0
4000,Excellence des Muraires,France,59.0
4001,Aldonza Navamarín,Spain,59.0
4002,Dr. Konrad's Vineyard,US,59.0
4003,Gran Cuvée Brut Rosé,Italy,59.0
4004,Imperial Gran Reserva,Spain,59.0
4005,Les Vignerondes Premier Cru,France,59.0
4006,The Muse Eaglepoint Ranch,US,59.0
4007,Triple A,France,59.0
4008,Barabba,Italy,59.0
4009,Yarden El Rom Vineyard,Israel,59.0
4010,Blanc de Blancs Réserve Privée,France,59.0
4011,Blanc de Blancs Réserve Privée Brut,France,59.0
4012,Sancerre d'Antan,France,59.0
4013,CV Reserve,US,59.0
4014,Classe M,France,59.0
4015,Terra Romana Cuvée Alexandru,Romania,59.0
4016,"Lewis Vineyards, Reserve",US,59.0
4017,Cuvée des Seigneurs de Ribeaupierre,France,59.0
4018,Casteller Reitsteig Trocken,Germany,59.0
4019,Vigneronne,US,59.0
4020,Party of Four Estate Grown,US,59.0
4021,Bricco Riserva,Italy,59.0
4022,Bastion Premier Cru,France,59.0
4023,Ridgetop Vineyard,US,59.0
4024,Raffaelli Vineyard,US,59.0
4025,Vigneti Montebello di Fornalis,Italy,59.0
4026,Rapture,US,59.0
4027,Angel's Cuvée Ripasso de Tannat,Uruguay,59.0
4028,Monts Damnés,France,59.0
4029,Rio Sordo,Italy,58.75
4030,Ellie's,US,58.75
4031,Proprietary Red Wine,US,58.75
4032,Cottá,Italy,58.75
4033,Family Home,US,58.75
4034,Mononi Vineyard,US,58.714285714285715
4035,Tenuta Belguardo,Italy,58.7
4036,Deer Meadows Vineyard,US,58.66666666666666
4037,Les Chevalières,France,58.6
4038,Séduction Brut,France,58.6
4039,Kingpin,US,58.57142857142857
4040,Quinta da Senhora da Ribeira Vintage,Portugal,58.5
4041,20-Years-Old Tawny,Portugal,58.5
4042,Bernkasteler alte Badstube am Doctorberg Auslese,Germany,58.5
4043,Blanc de Blancs Premier Cru,France,58.5
4044,Windsor Gardens,US,58.5
4045,Dollarhide Limited Edition Estate,US,58.5
4046,East Block,US,58.5
4047,Cuvée Royale,France,58.5
4048,Ravera,Italy,58.4
4049,Hyde Vineyard,US,58.39130434782609
4050,Booker Vineyard,US,58.33333333333334
4051,Chertsey,Australia,58.33333333333334
4052,Ribolla,Italy,58.33333333333334
4053,Le Reflexion,US,58.33333333333334
4054,Hook Vineyard,US,58.33333333333334
4055,Fourchaume Vignoble de Vaulorent Premier Cru,France,58.33333333333334
4056,Ribolla,Slovenia,58.33333333333334
4057,The Funk Estate,US,58.33333333333334
4058,Tenuta San Michele,Italy,58.33333333333334
4059,Millanni 994,Italy,58.33333333333334
4060,No. 7 Sonoma Collection,US,58.33333333333334
4061,Diamond T Estate,US,58.33333333333334
4062,Reserve Estate Bottled,US,58.33333333333334
4063,Endeavour,US,58.33333333333334
4064,Terres Basses,US,58.33333333333334
4065,Sassello,Italy,58.28571428571429
4066,Edmond,France,58.25
4067,Le Cèdre,France,58.25
4068,Abtsberg Superior,Germany,58.25
4069,Brut Rosé Premier Cru,France,58.16666666666666
4070,Olson Estate Vineyard,US,58.125
4071,Grand Brut Rosé,France,58.0
4072,"Reserve Unfined, Unfiltered",US,58.0
4073,Cottà,Italy,58.0
4074,Les Charbonnières,France,58.0
4075,Familia,Argentina,58.0
4076,Old School Vineyard,US,58.0
4077,Bee Bee's Blend,US,58.0
4078,Marchese di Villa Marina,Italy,58.0
4079,Clos Martinet,Spain,58.0
4080,Dutton Ranch Emereld Ridge Vineyard,US,58.0
4081,Dutton Ranch Emerald Ridge Vineyard,US,58.0
4082,Azaya Ranch Vineyard,US,58.0
4083,Vinha da Costa,Portugal,58.0
4084,Fleuron Premier Cru Blanc de Blancs Brut,France,58.0
4085,Coevo,Italy,58.0
4086,Monte Ca' Bianca,Italy,58.0
4087,Gran Cuvée Satén,Italy,58.0
4088,Sangue d'Oro 500ml,Italy,58.0
4089,Lewis Vineyard Reserve,US,58.0
4090,Quinta São Luiz Vintage,Portugal,58.0
4091,Laurus,France,58.0
4092,Les Serines,France,58.0
4093,Judge's Reserve,US,58.0
4094,Westhofener Morstein Auslese 500 ml,Germany,58.0
4095,Cooper Block Starr Ridge,US,58.0
4096,Pajorè,Italy,58.0
4097,Finca Los Nobles Malbec Verdot,Argentina,58.0
4098,Nico,Spain,58.0
4099,Kellerberg Smaragd,Austria,58.0
4100,Angel Camp Vineyard,US,58.0
4101,Dauphiné,US,58.0
4102,Quinta dos Malvedos Vintage,Portugal,58.0
4103,Riserva di Costasera,Italy,58.0
4104,Foss Vineyard,US,58.0
4105,Reserve Botrytised,New Zealand,58.0
4106,Alto,Argentina,58.0
4107,Dutton Ranch - Emerald Ranch Vineyard,US,58.0
4108,Erdener Prälat Auslese Goldkap,Germany,58.0
4109,Pavillon Blanc de Chateau Margaux,France,58.0
4110,Monte Cà Bianca,Italy,58.0
4111,Sassocheto,Italy,58.0
4112,Tresor,US,58.0
4113,Cuvée de Réserve Grand Cru Blanc de Blancs Brut,France,58.0
4114,Kashaya,US,58.0
4115,Chuy,US,58.0
4116,Exodus,Australia,58.0
4117,Nambrot,Italy,58.0
4118,Vigna Castellero,Italy,58.0
4119,Atsberg Auslese 149,Germany,58.0
4120,Mercedes Riverblock,US,58.0
4121,Riserva dei Mandorli,Italy,58.0
4122,Feudo Rosso,Italy,58.0
4123,Renacer R,Argentina,58.0
4124,Auction Block,US,58.0
4125,Vigna Manapetra Riserva,Italy,58.0
4126,Stone Tree Vineyard Intuition Reserve,US,58.0
4127,Mater Matuta,Italy,58.0
4128,Collaboration Series VI Ciel du Cheval Vineyard,US,58.0
4129,Jack Barrett,US,58.0
4130,Alto,Italy,58.0
4131,Berncasteler Doctor Spatlëse,Germany,58.0
4132,Vigneto Cannubi,Italy,58.0
4133,Doppiozeta,Italy,58.0
4134,Cambrian,Australia,58.0
4135,Metamorphosis,US,58.0
4136,Helmsman,New Zealand,58.0
4137,Pinot Noir Reserve,Austria,58.0
4138,Lumiere Du Fleur,US,58.0
4139,Abstberg Superior,Germany,58.0
4140,Camp Meeting Ridge Estate,US,58.0
4141,La Petite Côte,France,58.0
4142,Sangiacomo Roberts Road Vineyard,US,58.0
4143,Cyclo,Spain,58.0
4144,Zellberg,France,58.0
4145,Annie Camarda,US,58.0
4146,Block 43 Bien Nacido Vineyard,US,58.0
4147,Solesce Red Wine,US,58.0
4148,Serpentine Ridge Reserve,US,58.0
4149,Corbaia,Italy,57.85714285714285
4150,Roncaglie,Italy,57.7
4151,Dròmos,Italy,57.66666666666666
4152,Altenberg de Bergheim Grand Cru,France,57.625
4153,Les Caradeux Premier Cru,France,57.6
4154,Clos Triguedina The New Black Wine,France,57.5
4155,Bakers Gully,Australia,57.5
4156,Château de Blagny Premier Cru,France,57.5
4157,Collaboration Series III Ciel du Cheval Vineyard,US,57.5
4158,Castelletto,Italy,57.5
4159,Cabrida,Spain,57.5
4160,The Beautiful,US,57.5
4161,Lindaflor,Argentina,57.5
4162,Estate Alpha Wolf Ranch,US,57.5
4163,Rita's Crown,US,57.5
4164,Belle Dame,France,57.5
4165,Cara Mia Vineyard Bel Canto,US,57.5
4166,Best Barrel,US,57.5
